,classification,predictions,dataset_name,row_id,classification,length,row,species,text
1295,taxon_identification,habitat,bc,3823,taxon_identification,15,,Lupinus arcticus,arctic lupine  
17038,taxon_identification,habitat,bc,3883,taxon_identification,14,,Fraxinus excelsior,European ash  
14475,morphology,key,fna,4639,morphology,620,,,"Shrubs, evergreen. Branchlets not thorn-tipped. Leaves opposite (alternate in C. megacarpus and C. verrucosus); stipules persistent, thick, wartlike; blade leathery, margins entire or teeth not gland-tipped, often spinulose, stomata on abaxial surface in crypts, (crypts appearing as areolae aligned in rows between secondary veins); pinnately veined. Inflorescences umbel-like (rarely racemelike in C. pauciflorus). Capsules usually horned (horns sometimes minute or weakly developed bulges), sometimes not horned, usually not crested (crested in C. divergens and C. gloriosus); ridges between valves present or absent."
5253,key,morphology,fna,631,key,912,,,"1 Stems simple, 1–2 dm; perianth rotate; tepals 3–5 mm; anther apex minutely apiculate; style bulbous-conical, 0.5 mm. morphology 3 Streptopus streptopoides 1 Stems often branched, 1.5–12 dm; perianth campanulate; tepals 6–15 mm; anther apex long-pointed; style slender or stout, 3.5–5 mm. morphology 2 2 Stems simple or occasionally branched, 1.5–4(–8) dm; leaf base rounded; pedicel rarely geniculate at junction with peduncle, pubescent; tepals slightly spreading, streaked or spotted with pale rose to reddish purple; anthers 2 mm, apex 2-pointed; stigma weakly 3-lobed. morphology 1 Streptopus lanceolatus 2 Stems freely branched, 5–12 dm; leaf base cordate-clasping; pedicel sharply geniculate at junction with peduncle, glabrous; tepals spreading, recurved at tips, whitish to greenish yellow; anthers 3–3.5 mm, apex 1-pointed; stigma fused from base to tip, unlobed. morphology 2 Streptopus amplexifolius"
18403,key,taxon_identification,bc,1253,key,19,,,KEY TO MALVACEAE   
11257,morphology,key,fna,3681,morphology,7,,,Florida
6654,key,morphology,bc,703,key,173,,Pinus contorta,"4.  Cones sessile or subsessile, 5-25 cm long, cone scales thick, woody, and sometimes remaining closed, seeds wingless or wings short and remaining attached to scale.     "
4766,morphology,key,fna,3840,morphology,13,,,Petals white.
13444,morphology,key,bc,2300,morphology,32,,Cyclamen hederifolium,Fruits Fruits globose capsules. 
4664,morphology,key,budds,255,morphology,804,154.0,,"Plants tufted, often with rhizomes, with culms erect or decumbent, or
forming stolons, which root at the internodes. Sheaths glabrous; blades 4-8
mm wide, flat or somewhat involute to folded, scabrous on both sides. Panicle
5-30 cm high, usually pyramidal; glumes 2-3.5 mm long, acuminate, some-
what pubescent on the keel; lemma 1.5-2.3 mm long, sometimes short-awned;
palea about half as long as lemma. Moist areas in Boreal forest, or as escape
from cultivation. Often listed as A. alba L., but this name appears to be based
on a rather depauperate specimen of Poa nemoralis L. and is therefore invalid.
Our plants are in part var. genuina (Schur) A. & G. (Fig. 31), with rather
numerous and creeping rhizomes, and var. major Farw. forma palustris (Huds.)
J. & W., lacking or with few short rhizomes. "
13884,habitat,morphology,fna,11204,habitat,24,,,Base and trunks of trees
3690,key,morphology,fna,1370,key,1093,,,"1 Inflorescences lax; bracts on main axis of inflorescence minute, scalelike; cincinni stalked, each cincinnus enclosed in large, conspicuous bracteole morphology 4 Alpinia 1 Inflorescences dense; bracts on main axis of inflorescence lanceolate to reniform, 2–9 cm; cincinni sessile, each cincinnus enclosed in bract, bracteoles small, inconspicuous, hidden by bracts. morphology 2 2 Inflorescences projecting from tip of pseudostem; filament linear; anther long-exserted morphology 1 Hedychium 2 Inflorescences terminating short stem with only scale leaves; filament rectangular or nearly absent; anther enclosed in corolla. morphology 3 3 Inflorescences cylindric; bracts spreading; proximal bracts ovate, apex obtuse; distal bracts larger, narrowly ovate, apex rounded; lateral staminodes petal-like. morphology 2 Curcuma 3 Inflorescences conelike; bracts imbricate; proximal bracts reniform or very broadly ovate, apex broadly rounded; distal bracts smaller but otherwise similar to proximal bracts; lateral staminodes absent or reduced to small teeth adnate with lip morphology 3 Zingiber"
16546,key,morphology,fna,1558,key,1544,,,"1 Lip scrotiform, apex reflexed, no fleshy callosities on inner surface; rostellum notched; inflorescences cylindric (equally dense on all sides); leaves with midrib bordered by broad white bands and lateral veins traced with narrower white bands, both sharply demarcated from adjacent green tissue. morphology 1 Goodyera pubescens 1 Lip deeply concave or saccate, apex spreading or recurved, fleshy callosities on inner surface; rostellum with 2-pronged beak; inflorescences loosely spiraled or secund (infrequently cylindric); leaves uniformly green or reticulate with white or pale green on midrib and/or lateral veins. morphology 2 2 Leaf blades usually with only midrib whitened (infrequently with lateral veins, especially those near midrib, lightly penciled in white); sepals 5.7–7.8 mm; lip 4.9–7.9 mm; rostellar beak 2.3–3.6 mm; lip apex short, spreading or slightly arching with upright or involute margins. morphology 2 Goodyera oblongifolia 2 Leaf blades uniformly green or reticulate with white or pale green on lateral veins and sometimes midrib (very infrequently only midrib whitened in G. tesselata); sepals 3–6 mm; lip 1.8–5.5 mm; rostellar beak 1.7 mm or less; lip apex spreading or recurved with spreading margins. morphology 3 3 Lip narrowly saccate with elongate, recurved apex; rostellar beak 0.2–0.6 mm, shorter than body of stigma. morphology 3 Goodyera repens 3 Lip deeply concave with short spreading or recurved apex; rostellar beak 0.6–1.7 mm, equal to or longer than body of stigma. morphology 4 Goodyera tesselata"
8676,taxon_identification,habitat,bc,4819,taxon_identification,46,,Erigeron humilis,arctic-alpine daisy (arctic alpine fleabane)  
12244,taxon_identification,habitat,bc,4179,taxon_identification,28,,Chimaphila umbellata ssp. occidentalis,prince's pine (pipsissewa)  
6060,morphology,key,fna,4413,morphology,174,,,"Leaf blade abaxially glabrous or sparsely appressed-pubescent. Inflorescence stalk glabrous or pubescent, pubescence generally less dense and shorter than in var. fresnensis."
11431,key,morphology,fna,2160,key,1209,,,"1 Stems 1–1.5 mm diam., creeping, few-branched; leaves scattered along stems, delicate and ephemeral; petioles mostly dark brown in proximal 1/2–2/3, greenish distally; often in calcareous habits. morphology 1 Cryptogramma stelleri 1 Stems 4–20 mm diam., decumbent to erect, many branched from base; leaves strongly tufted, herbaceous to somewhat leathery, present throughout growing season; petioles dark brown in proximal 1/8 or less; mostly of noncalcareous habitats. morphology 2 2 Blades herbaceous, thin, translucent when dried, shed in autumn, not persistent; hydathodes on dried leaves superficial; hairs absent from adaxial leaf surface. morphology 2 Cryptogramma cascadensis 2 Blades somewhat leathery, opaque when dried, green and persistent over winter; hydathodes on dried leaves sunken below surface; hairs small, appressed, cylindric, present in grooves of petiole, costae, and costules of adaxial leaf surface. morphology 3 3 Segments oblong to ovate-lanceolate, with 6–12 or more teeth or shallow lobes; sterile leaves 2–3-pinnate. morphology 3 Cryptogramma acrostichoides 3 Segments obovate, with 2–6 deep lobes; at least some sterile leaves 3–4-pinnate. morphology 4 Cryptogramma sitchensis"
867,taxon_identification,habitat,bc,5529,taxon_identification,16,,Pinus contorta var. latifolia,lodgepole pine  
17523,key,morphology,fna,396,key,4680,,,"1 Plants densely tufted, stems ± tomentose proximally morphology 2 1 Plants loosely to densely tufted or gregarious; stems, if tomentose, only so at extreme base morphology 3 2 Stems 1-4 cm; leaves to 3 mm, from an ovate-sheathing base sharply contracted to the subula; costa abaxially strongly convex; lamina cells near costa with weakly nodulose longitudinal walls; plants commonly fruiting. morphology 2 Ditrichum flexicaule 2 Stems to 7 cm or more; leaves from an elongate-ovate base tapering gradually to the long slender subula; costa abaxially weakly convex; basal laminal cells with weakly to strongly nodulose longitudinal walls; rarely found fruiting morphology 3 Ditrichum gracile 3 In cross section, distal leaf lamina partially 1-stratose with 2-stratose margins morphology 4 3 In cross section, distal leaf lamina 2-stratose from costa to margins morphology 8 4 Leaves erect-appressed to erect-patent when moist morphology 5 4 Leaves erect-spreading when moist morphology 6 5 Leaves oblong-lanceolate, widest proximally to middle, tapering to a blunt apex; lamina cells thin-walled, rectangular throughout, slightly shorter and narrower towards apex; seta to 2.5 cm, yellowish to orange-brown, erect; peristome teeth 200-220 µm, perforate, divided into 2 adhering filaments, finely papillose. morphology 5 Ditrichum lineare 5 Leaves lanceolate to linear-lanceolate, gradually acuminate; lamina cells ± incrassate, subquadrate to short-rectangular distally, elongate-rectangular proximally; seta to 1.5 cm, reddish with age; peristome teeth 200-250 µm, the filaments finely and obliquely ridged and lightly papillose. morphology 8 Ditrichum pusillum 6 Stems fastigiately branched from base, dichotomous distally; leaves linear-lanceolate, margins subserrulate distally, apex coarsely toothed; seta to 2.5 cm, pale yellow; capsule straight and erect or slightly curved, orange- to dark red-brown at maturity, elliptical, narrowed at mouth, 2-3 mm, flattened when dry; peristome teeth 600-800 µm, spiculose-papillose; autoicous. morphology 6 Ditrichum montanum 6 Stem branching distally from base; leaves lanceolate to linear-lanceolate, margins entire to serrulate distally, apex weakly toothed; seta shorter, 0.8-2 cm, red to orange-brown; capsule symmetric to slightly curved, 1-3 mm, not flattened when dry; peristome teeth 200-500 µm, papillose to spiculose; dioicous morphology 7 7 Stems to 2 cm, often branched; leaves 1.5-4.5 mm, apex entire or serrulate, margins broadly recurved from base to leaf middle; leaf cross section 2-stratose on margins and sometimes near costa; seta 1.5-2 cm, red; capsule usually symmetric, straight and erect, rarely curved, 1.5-3 mm long, dark brown to reddish; peristome teeth 200-500 µm, twisted when dry. morphology 1 Ditrichum ambiguum 7 Stems to 0.5 cm, seldom branched; leaves 1-3 mm, apex serrulate, margins plane or narrowly recurved from above leaf base to leaf middle; leaf cross section 2-stratose only at or near margins; seta 0.8-1.2 cm, orange-yellow, brownish or reddish; capsule usually asymmetric, erect, curved, 1-2 mm, yellow or light brown; peristome teeth 200 µm, nearly straight. morphology 11 Ditrichum tortuloides 8 Stem leaves 1.5-3 mm, from an ovate to oblong base gradually tapered to a channelled subula, erect-patent to subsecund; dioicous. morphology 4 Ditrichum heteromallum 8 Stem leaves longer, 3-7 mm, long-subulate from an ovate to short-rectangular base, spreading, flexuose to subsecund; autoicous morphology 9 9 Leaves to 5 mm; seta to 2.5 cm, orange-yellow, becoming reddened at maturity; capsule ovoid-cylindric, ± asymmetric and slightly curved, pale brown, suberect, flattened when dry; peristome teeth to 1500 µm, densely spiculose-papillose; spores yellow-brown, 11-19 µm, vermicular papillose-verrucose morphology 9 Ditrichum rhynchostegium 9 Leaves 3-7 mm; seta 1-3 cm, yellow or becoming reddish brown at the base when mature; capsules subcylindric to cylindric, not flattened when dry; peristome teeth to 800 µm, finely papillose to spiculose-papillose; spores brown, 15-30 µm, coarsely roughened-papillose morphology 10 10 Leaves long-subulate from a short-ovoid sheathing base; seta to 2.5 cm, yellow, becoming reddened at the base with maturity; capsule suberect, subcylindric, 1-2.5 mm; peristome teeth pale brown to orange-brown, 300-800 µm, spiculose- papillose; spores 15-30 µm. morphology 7 Ditrichum pallidum 10 Leaves narrow filiform-subulate from an ovate-lanceolate sheathing base; seta 1-3 cm, yellow; capsule cylindric, 1.5-3 mm; peristome teeth pale yellow-brown, to 300 µm, irregularly perforate, finely papillose; spores 20-30 µm. morphology 10 Ditrichum schimperi"
5514,taxon_identification,habitat,bc,4166,taxon_identification,22,,Carex saximontana,Rocky Mountain sedge  
5377,key,morphology,fna,2308,key,560,,,"1 Inflorescences solitary flowers; sepals similar to bracts; nectary lobes elongate, curved about filament bases; stigmas broadly funnelform, without subtending ring of hairs; capsule segments stout, persistent after seed dispersal. morphology 1 Monotropa uniflora 1 Inflorescences racemes, rarely solitary flowers; sepals not similar to bracts; nectary lobes not elongate or curved about filament bases; stigmas umbilicate, often with subtending ring of hairs; capsule segments thin, often some fall away after seed dispersal. morphology 2 Monotropa hypopitys"
115,morphology,key,bc,3128,morphology,192,,Cicuta maculata var. angustifolia,"Leaves Stem leaves compound, divided 1-3 times without bulbils in axils; leaflets more than 5 times as long as broad, linear to narrowly lanceolate; midvein on upper leaflet surface glabrous. "
11685,key,morphology,fna,2418,key,1177,,,"1 Roots 1–21 per frond; fronds with 1–21 veins; daughter fronds and flowers from 2 lateral pouches at frond base; flowers surrounded by small utricular, membranous scale; stamens 2, 4-locular; seeds longitudinally ribbed. morphology 2 1 Roots absent; fronds without veins; daughter fronds from single terminal pouch or cavity morphology 3 2 Roots (1–)2–21 per frond; fronds with (3–)5–16(–21) veins, surrounded at base by small scale covering point of attachment of roots; pigment cells present (visible in dead fronds as brown dots) morphology 1 Spirodela 2 Roots 1 per frond; fronds with 1–5(–7) veins, without scale at base; pigment cells absent (red pigmentation present in some species) morphology 2 Lemna 3 Fronds flat (linear, ribbon-, sabre-, or tongue-shaped, or ovate), with air spaces; daughter fronds from terminal flat pouch at mother-frond base; flower(s) in cavity at side of median line of upper frond surface morphology 3 Wolffiella 3 Fronds 3-dimensional (globular, ovoid, or boat-shaped), without air spaces; daughter fronds from terminal conic pouch or cavity at mother-frond base; flower in cavity on median line of upper frond surface morphology 4 Wolffia"
4300,morphology,key,bc,2555,morphology,70,,Ambrosia chamissonis,Fruits Achenes enclosed within the involucral bracts; pappus lacking. 
335,taxon_identification,habitat,bc,3821,taxon_identification,14,,Arctanthemum arcticum ssp. arcticum,arctic daisy  
10374,key,morphology,fna,1865,key,914,,,"1 Fronds boat-shaped, 0.3–1 times as deep as wide, with pigment cells in vegetative tissue. morphology 2 1 Fronds globular to ovoid, 1–1.5 times as deep as wide, without pigment cells in the vegetative tissue. morphology 3 2 Fronds 1–1.5 times as long as wide, rounded at apex, papilla usually prominent in center of upper surface morphology 1 Wolffia brasiliensis 2 Fronds 1.3–2 times as long as wide, with point at apex bent upwards, papilla absent morphology 2 Wolffia borealis 3 Fronds with 10–100 stomates, slightly pointed at apex, the adaxial upper surface intensely green (not transparent) morphology 3 Wolffia arrhiza 3 Fronds with 1–10(–30) stomates, rounded or slightly pointed at apex, upper surface transparently green. morphology 4 4 Fronds 1.3–2 times as long as wide, 0.3–0.5 mm wide morphology 4 Wolffia globosa 4 Fronds 1–1.3 times as long as wide, 0.4–1.2 mm wide morphology 5 Wolffia columbiana"
4873,key,morphology,budds,21,key,79,136.0,,"Rootlets solitary, one to a frond Lemna

Rootlets several to a frond Spirodela
"
12491,morphology,key,bc,2438,morphology,94,,Cuscuta epithymum,"Fruits Capsules spherical, opening in an irregularly circular fashion near the base; seeds 4. "
3851,key,morphology,bc,470,key,11,,,           
4810,key,morphology,fna,1644,key,527,,,"1 Leaves awned, laminal cells papillose abaxially. morphology 2 Acaulon schimperianum 1 Leaves cuspidate or muticus, laminal cells smooth morphology 2 2 Plants often three-angled, about 1 mm, leaves keeled, seta about as long as the diameter of the capsule, spores about 30 µm, finely papillose. morphology 1 Acaulon triquetrum 2 Plants flattened-globose or three-angled, about 2 mm, leaves broadly channeled, seta short, about 0.3 the diameter of the capsule, spores 30-50 µm, smooth or papillose. morphology 3 Acaulon muticum"
15818,key,morphology,fna,1966,key,3409,,,"1 Involucellar bractlets 1–9 mm wide morphology 2 1 Involucellar bractlets 0.2–0.8(–1) mm wide morphology 4 2 Inflorescences open-paniculate, flowers solitary or in loose clusters, not subtended by conspicuous bracts; indument white and dense (hairs simple, fine), sometimes sublepidote (hairs stellate, sessile). morphology 8 Malacothamnus abbottii 2 Inflorescences spicate, racemose, or headlike, flower clusters glomerate, subtended by conspicuous bracts; indument grayish, tawny, or white, dense to sparse, hairs stellate, sessile or stalked, sometimes mixed with glandular and/or armed hairs morphology 3 3 Flower clusters in elongate, spicate or racemose inflorescences, involucellar bractlets distinct or basally connate. morphology 9 Malacothamnus aboriginum 3 Flower clusters in headlike or spicate inflorescences, involucellar bractlets distinct. morphology 10 Malacothamnus palmeri 4 Calyx lobes: length 1–1.5 times width, 1(–2) times tube, triangular to ovate, apex acute or acuminate to short-mucronate; involucellar bractlets 1/2–2/3 times calyx morphology 5 5 Calyces sparsely bristly- or stellate-hairy, stellate hairs overlain by 1–few-armed, arms to 3 mm; flower clusters sessile, glomerate, inflorescences interrupted, spicate. morphology 6 Malacothamnus densiflorus 5 Calyces sparsely hairy to densely stellate-hairy, if sparsely, not bristly, hairs usually 10–30-armed, arms 0.2–1.5 mm; flower clusters sessile or pedunculate, glomerate or loose, inflorescences non-interrupted, cymose, spicate, racemose, or open-paniculate morphology 6 6 Leaf blades 2–6(–11) cm, usually thin, surfaces: adaxial usually gray-green and sparsely hairy, basal lobes not overlapping; branches usually slender. morphology 1 Malacothamnus fasciculatus 6 Leaf blades 5–11(–20) cm, thick, surfaces: adaxial tawny and densely stellate-hairy, basal lobes usually overlapping; branches usually stout. morphology 2 Malacothamnus davidsonii 7 Calyces not angled and/or winged in bud, lobes usually triangular or deltate-lanceolate, apex long-acute to ± acuminate; indument densely lanate, white-lanate, or villous, or sublepidote to tomentose morphology 9 8 Flower clusters usually glomerate; inflorescences not basally leafy, interrupted, spicate; calyx indument sparse, hairs usually 1–2–few-armed, bristly. morphology 6 Malacothamnus densiflorus 8 Flower clusters glomerate to open; inflorescences usually basally leafy, interrupted or not, spicate or racemose; calyx indument dense, stellate-hairy, not bristly. morphology 7 Malacothamnus marrubioides 9 Petals white, fading lavender; leaf blades 3- or 5-lobed, surfaces: adaxial glabrate, dark green. morphology 3 Malacothamnus clementinus 9 Petals pale pink to deep mauve; leaf blades unlobed or 3- or 5-lobed, surfaces: adaxial soft tomentose-white, pale ash green and velvety white or sparsely hairy and green morphology 10 10 Inflorescences interrupted and spicate or narrow-paniculate to open-paniculate, flower clusters dense or loose, 6–10-flowered; branches stout or slender, not flexuous; leaf blades ovate, broadly ovate, suborbiculate, or reniform, 4–6(–11) cm. morphology 4 Malacothamnus fremontii 10 Inflorescences usually open-paniculate or subracemose, flower clusters loose, 3(–6)-flowered, sometimes flowers solitary; branches slender, flexuous; leaf blades ovate, ± rhombic, or suborbiculate, 2.5–4.5(–7) cm. morphology 5 Malacothamnus jonesii"
14192,taxon_identification,morphology,bc,3935,taxon_identification,15,,Chenopodium rubrum,red goosefoot  
7742,morphology,key,fna,3135,morphology,382,,,"Stems viny, climbing or trailing (plants scarcely viny perennials in var. dissecta). Leaf blade 1-ternate (or terminal leaflet sometimes ternate in var. dissecta), ± firm but not succulent; leaflets lance-ovate to triangular or suborbiculate, lobed or unlobed, margins entire or toothed. Flowers: sepals violet-blue, reddish violet, or white, lanceolate to ovate or elliptic-oblong."
319,morphology,taxon_identification,budds,345,morphology,318,696.0,,"The genus Populus consists of species that appear to hybridize freely,
which has resulted in several forms, intermediate between the parents. Because
of the considerable variability in the size and form of the leaves in the species,
many species have been described that are now considered to be varieties or
hybrids.
"
18630,key,morphology,bc,751,key,66,,Symphoricarpos oreophilus var. utahensis,"3. Styles short, not exserted from the corolla tube, glabrous.    "
3603,taxon_identification,habitat,bc,5172,taxon_identification,24,,Dicentra formosa,Pacific bleeding heart  
16638,key,morphology,fna,3024,key,1093,,,"1 Stems (1–)2–4 dm, bases (1.5–)2–3 mm diam.; basal leaves (4–)7–16 cm; terminal leaflets (1–)2–3(–4) cm, teeth usually double, (5–)8–15 per side; flowers (5–)10–40; petals 6–12 × 5–11 mm, widely overlapping; filaments 2–4 mm. morphology 9a Drymocallis pseudorupestris var. pseudorupestris 1 Stems (0.3–)0.6–2.5 dm, bases 1–2(–3) mm diam.; basal leaves (2–)3–9(–15) cm; terminal leaflets 0.2–2(–4) cm, teeth single or ± double, 2–8(–12) per side; flowers 2–12(–20); petals 4–8(–9) × 3–6(–8) mm, not or ± overlapping; filaments 1–2.5(–3) mm morphology 2 2 Basal leaves: leaflet pairs (2–)3(–4); hypanthia and sepals not bristly or bristles less than 1 mm; short hairs sparse to moderately abundant on stems and pedicels (sometimes absent); styles usually golden brown, rarely reddish. morphology 9b Drymocallis pseudorupestris var. saxicola 2 Basal leaves: leaflet pairs 3–4(–5); hypanthia and sepals prominently bristly, bristles 1–1.5 mm; short hairs absent or sparse on stems and pedicels; styles usually dark red, rarely golden brown. morphology 9c Drymocallis pseudorupestris var. crumiana"
1189,key,morphology,fna,2249,key,265,,,"1 Seeds smooth, highly glossy, 0.4-0.5 × 0.2-0.3 mm; sepal apex long-acuminate or attenuate morphology 1 Glinus radiatus 1 Seeds papillate, somewhat glossy or dull, 0.4-0.6 × 0.3-0.4 mm; sepal apex rounded to acute or slightly mucronate morphology 2 Glinus lotoides"
13948,key,morphology,bc,1564,key,9,,Stachys byzantina, Source  
12656,taxon_identification,morphology,bc,4454,taxon_identification,20,,Elymus trachycaulus,slender wheatgrass  
9670,taxon_identification,morphology,bc,4537,taxon_identification,11,,Fraxinus pennsylvanica,green ash  
15322,key,morphology,fna,823,key,2654,,,"1 Leaves in two rows, base ± sheathing, abruptly narrowed to a ± roughened subula. morphology 2 Distichium 1 Leaves in more than two rows morphology 2 2 Leaves glaucous blue-green. morphology 4 Saelania 2 Leaves yellow-green to green or brownish green, never glaucous blue-green morphology 3 3 Leaves squarrose from a sheathing base, subulate, the subula tubulose and strongly prorulose abaxially. morphology 5 Trichodon 3 Leaves lanceolate to subulate, the base ± sheathing or not, not squarrose morphology 4 4 Stems generally elongate, 0.5-4 cm or sometimes longer; capsule, when present, peristomate morphology 5 4 Stems generally very short, 0.2-0.8 cm; capsule, when present, immersed and cleistocarpic morphology 6 5 Leaves lanceolate, ovate-lanceolate or triangular-ovate to obovate, margins recurved; seta reddish purple to yellowish orange, capsule erect to inclined, strongly sulcate when dry. morphology 1 Ceratodon 5 Leaves lanceolate to subulate, margins mostly plane, occasionally weakly recurved; seta pale yellow to yellow to orange to reddish brown, capsule erect to suberect, not sulcate when dry morphology 3 Ditrichum 6 Leaves loosely erect, subulate-acuminate from a lanceolate base, margins sharply serrate distal to the shoulders, costa excurrent, filling subula; seta stout, arcuate; capsule laterally emergent, pendulous. morphology 7 Eccremidium 6 Leaves erect-spreading or appressed or reflexed-recurved, oblong to lanceolate or subulate, margins plane, serrulate towards apex, costa subpercurrent to excurrent; seta short, erect to curved, not arcuate; capsule erect to inclined, not pendulous morphology 7 7 Leaves reflexed-recurved, lanceolate from an ovate base, margins plane, entire, serrulate at the flat apex; laminal cells thin-walled, proximal cells larger, rectangular, distal cells rhombic; capsule ovoid. morphology 9 Pseudephemerum 7 Leaves erect-spreading or appressed, oblong to lanceolate with subulate to acuminate tips, margins plane, entire to serrate or abruptly toothed; lamina cells quadrate-rectangular proximally, becoming irregularly rhomboid to trapezoidal and elongated distally; capsule ovoid to elliptic morphology 8 8 Stem leaves 2-4 mm, loosely erect, subulate from an ovate-lanceolate to narrowly obovate base, entire, serrulate along subula; capsule immersed, ovoid, broadest at base, whitish, spore sac orange. morphology 6 Cleistocarpidium 8 Stems leaves 0.5-2 mm, erect-spreading or appressed, imbricate to spreading, oblong to lanceolate with subulate to acuminate tips, entire to serrate or abruptly toothed; capsule immersed, ovoid to elliptical, orange to brown. morphology 8 Pleuridium"
4207,morphology,habitat,budds,224,morphology,90,111.0,,"More likely to be found toward the eastern part of the Prairie Provinces,
but not common.
"
1117,taxon_identification,habitat,bc,4998,taxon_identification,17,,Agrostis idahoensis,Idaho bentgrass  
659,key,morphology,fna,1822,key,969,,,"1 Leaf blade entire, base deeply cordate or auriculate, or cuneate to abruptly narrowed or rounded, apex obtuse or acute to acuminate; stipules adnate on petiole or rarely free, early deciduous; tepals petaloid, usually spreading, creamy white, rarely greenish or yellow to orange-yellow, outermost tepals sepaloid, sometimes reflexed, greenish; anthers introrse or latrorse; follicles persistent, coalescent; seeds with brightly colored aril, extruded from follicles and suspended by funiculi. morphology 1 Magnolia 1 Leaf blade evenly 2-10-lobed, base rounded to shallowly cordate or truncate, apex broadly truncate or notched; stipules free, erect, leafy, tardily deciduous; tepals petaloid, tip recurved, greenish yellow with feathered orange band near base, outermost tepals sepaloid, reflexed, green; anthers extrorse; samaras caducous, forming elongate spindle-shaped dry cone, indehiscent; seeds without aril, adherent to dry endocarp. morphology 2 Liriodendron"
6187,taxon_identification,habitat,bc,5059,taxon_identification,20,,Stachys palustris ssp. pilosa,swamp hedge-nettle  
10963,morphology,key,fna,6005,morphology,278,,,"Corms elongate, tapering (± globose s of colorado river in bastrop and caldwell counties). Heads crowded. Phyllaries: apices petaloid, blue, lavender, magenta, or pink, elongate and strongly recurving, petaloid portions short relative to herbaceous bases. Corollas creamy white."
13520,morphology,key,bc,3424,morphology,126,,Larix laricina,"Leaves Needles deciduous; blue-green, turning yellow in the autumn; in bundles of 12-20 on short spur branches; 5-22 mm long. "
1455,taxon_identification,morphology,bc,4242,taxon_identification,36,,Cyperus esculentus var. leptostachyus,yellow nut-grass (yellow nutsedge)  
