,text,classification,reclassification
137,forming a tube or bell (p. 29). ,key,key
138,A. Apetalous dicotyledons ,taxon_identification,taxon_identification
139,"(flowers with only one floral ring, with sepals but not petals) ",morphology,morphology
140,1. Herbs 2 ,key,key
141,Shrubs or trees 23 ,key,key
142,2. Plants parasitic on branches of trees; ,key,key
143,"leaves reduced to scales LORANTHACEAE, p. 308 ",key,key
144,Plants not parasitic on trees; rooted in ,key,key
145,soil or water 3 ,key,key
146,3. Water plants 4 ,key,key
147,Land plants 7 ,key,key
148,4. Leaves all simple 5 ,key,key
149,Some or all leaves divided into filiform ,key,key
150,"segments , 6 ",key,key
151,"5. Leaves opposite CALLITRICHACEAE, p. 514 ",key,key
152,"Leaves whorled HALORAGACEAE, p. 543 ",key,key
153,(Hippuris) ,taxon_identification,key
154,"6. Plants free-floating, rootless CERATOPHYLLACEAE, p. 361 ",key,key
155,"Plants rooted at the bottom HALORAGACEAE, p. 544 ",key,key
156,{Myriophyllum) ,taxon_identification,key
157,7. Stamens or pistils in separate flowers on ,key,key
158,the same plant 8 ,key,key
159,Stamens and pistils in each flower 1 1 ,key,key
160,"8. Plants with milky sap; fruit 3-seeded, ",key,key
161,"splitting open at maturity EUPHORBIACEAE, p. 511 ",key,key
162,Plants without milky sap 9 ,key,key
163,"9. Plants twining, climbing; female flowers ",key,key
164,"and fruit in catkin-like spikes CANNABINACEAE, p. 304 ",key,key
165,Plants not climbing; fruit not catkin-like 10 ,key,key
166,10. Stigmas 2; flowers without calyx; fruit ,key,key
167,"enclosed in 2 bracts CHENOPODIACEAE, p. 326 ",key,key
168,(A triplex) ,taxon_identification,key
169,Stigmas 1; flowers with calyx; fruit ,key,key
170,enclosed by 2-4 perianth segments; ,key,key
171,"leaves often bearing stinging hairs URTICACEAE, p. 304 ",key,key
172,1 1. Plants stemless with a single pair of large ,key,key
173,"reniform leaves; calyx 3-lobed ARISTOLOCHIACEAE, p. 308 ",key,key
174,"Plants with stems or stemless, but with ",key,key
175,more than one pair of leaves 12 ,key,key
176,12. Leaves with stipules free or sheathing the ,key,key
177,stem 13 ,key,key
178,Leaves without stipules 14 ,key,key
179,13. Leaves opposite; stipules membranous; ,key,key
180,"plant cushion-like CARYOPHYLLACEAE, p. 354 ",taxon_identification,key
181,(Paronychia) ,key,key
182,Leaves alternate; stipules forming a ,morphology,key
183,"sheath above nodes POLYGONACEAE, p. 308 ",key,key
184,14. Leaves opposite 15 ,key,key
185,Leaves alternate; lower ones sometimes ,morphology,key
186,opposite 18 ,key,key
187,15. Leaves scale-like; stem fleshy; flowers ,key,key
188,imbedded in stem; plants of saline ,key,key
189,"areas CHENOPODIACEAE, p. 338 ",taxon_identification,taxon_identification
190,(Salicomia) ,taxon_identification,taxon_identification
191,Leaves not scale-like; calyx colored 16 ,key,key
192,"16. Plants climbing RANUNCULACEAE, p. 369 ",key,key
193,(Clematis) ,key,key
194,Plants not climbing 17 ,key,key
195,17. Erect herbs; inflorescence in panicles or ,key,key
196,"clusters NYCTAGINACEAE, p. 344 ",taxon_identification,key
197,"Low plants; flowers solitary in leaf axils PRIMULACEAE, p. 583 ",key,key
198,(Glaux) ,taxon_identification,key
199,"18. Fruit fleshy when ripe SANTALACEAE, p. 305 ",key,key
200,Fruit dry when ripe 19 ,key,key
201,"19. Leaves orbicular or reniform; sepals 4 SAXIFRAGACEAE, p. 421 ",key,key
202,(Chrysoplenium) ,taxon_identification,key
203,Leaves not orbicular or reniform 20 ,key,key
204,"20. Leaves compound or simple, but very ",key,key
205,"deeply divided RANUNCULACEAE, p. 364 ",key,key
206,(A nemone) ,taxon_identification,taxon_identification
207,Leaves not compound and not very ,morphology,morphology
208,deeply divided 21 ,key,key
209,"21. Perianth segments 6, in two series; flowers ",key,key
210,"colored POLYGONACEAE, p. 309 ",taxon_identification,key
211,(Eriogonum) ,key,key
212,"Perianth segments 2-5; flowers small, ",morphology,morphology
213,"numerous, greenish 22 ",morphology,morphology
214,22. Bracts and perianth segments dry and ,key,key
215,"membranous AMARANTHACEAE, p. 342 ",taxon_identification,key
216,"Membranous bracts absent; perianth segments greenish CHENOPODIACEAE, p. 324 ",key,key
217,"23. Male flowers, at least, in catkins or ",key,key
218,aments 24 ,key,key
219,Flowers not in catkins or aments 27 ,key,key
220,"24. Seeds each with a tuft of hairs SALICACEAE, p. 279 ",key,key
221,Seeds without a tuft of hairs 25 ,key,key
222,"25. Styles 3 or more; fruit an acorn FAGACEAE, p. 303 ",key,key
223,Styles 2; fruit not an acorn 26 ,key,key
224,26. Three flowers in axil of each bract of male ,key,key
225,"catkin BETULACEAE, p. 299 ",taxon_identification,taxon_identification
226,One flower in axil of each bract of male ,morphology,morphology
227,"catkin; fruit a nut BETULACEAE, p. 301 ",key,key
228,(Corylus) ,taxon_identification,key
229,27. Climbing plants; flowers with colored ,key,key
230,sepals; fruit with a persistent feathery ,morphology,key
231,"style RANUNCULACEAE, p. 369 ",key,key
232,(Clematis) ,key,key
233,Plants not climbing; fruit without a feathery style 28 ,key,key
234,28. Leaves pinnately compound 29 ,key,key
235,Leaves simple 30 ,key,key
236,29. Fruit a double samara; leaflets mostly ,key,key
237,"3-5 ACERACEAE, p. 515 ",key,key
238,Fruit a single samara; leaflets mostly ,key,key
239,"5-11 OLEACEAE, p. 587 ",taxon_identification,taxon_identification
240,"30. Leaves linear, evergreen, 2.5-7 mm long; ",morphology,morphology
241,"plants with decumbent stems EMPETRACEAE, p. 514 ",key,key
242,"Leaves wider, deciduous; plants with ",key,key
243,erect stems 31 ,key,key
244,31. Fruit fleshy when ripe 32 ,key,key
245,Fruit dry when ripe 33 ,key,key
246,"32. Leaves silvery or brownish scurfy ELAEAGNACEAE, p. 533 ",key,key
247,"Leaves aromatic, not silvery or brownish ",morphology,morphology
248,"scurfy MYRICACEAE, p. 299 ",taxon_identification,taxon_identification
249,"33. Shrubs without stipules; branches spiny CHENOPODIACEAE, p. 339 ",key,key
250,(Sarcobatus) ,taxon_identification,taxon_identification
251,Trees with stipules; flowers appearing ,morphology,morphology
252,"before leaves ULMACEAE, p. 303 ",key,key
253,B. Choripetalous dicotyledons ,taxon_identification,key
254,"(flowers with two floral rings, and with each petal distinct from the others) ",key,key
255,"1. Succulent, spiny plants with leaves absent ",key,key
256,"or scale-like, inconspicuous CACTACEAE, p. 531 ",key,key
257,Plants with leaves ,key,key
258,"2. Leaves all basal, and tubular or with tentacles for catching insects 3 ",key,key
259,Leaves normal 4 ,key,key
260,"3. Plants with solitary flowers; leaves tubular with lid-like lobe on top SARRACENIACEAE, p. 418 ",key,key
261,Plants with flowers in racemes; leaves flat ,morphology,morphology
262,"with glandular tentacles DROSERACEAE, p. 418 ",taxon_identification,taxon_identification
263,4. Herbs 5 ,key,key
264,Shrubs or trees 41 ,key,key
265,5. Plants aquatic; leaves submerged or ,key,key
266,floating 6 ,key,key
267,Plants terrestrial or semiaquatic 8 ,key,key
268,"6. Leaves mostly floating, large, suborbicular or reniform NYMPHAEACEAE, p. 361 ",key,key
269,"Leaves mostly submerged, small, coarsely ",morphology,key
270,to finely dissected 7 ,key,key
271,"7. Flowers pedicellate, mostly white or yellow, perfect RANUNCULACEAE, p. 362 ",key,key
272,"Flowers sessile, axillary, monoecious HALORAGACEAE, p. 543 ",morphology,key
273,8. Plants with a single ternately compound ,key,key
274,"stem leaf, appearing as 3 long-petioled ",key,key
275,"leaves BERBERIDACEAE, p. 384 ",key,key
276,(Caulophyllum) ,key,key
277,Plants with more than one leaf. 9 ,key,key
278,"9. Plants with colored milky juice PAPAVERACEAE, p. 384 ",key,key
279,Plants not with colored milky juice 10 ,key,key
280,"10. Leaves opposite, whorled, or basal 11 ",key,key
281,Some or all leaves alternate 18 ,key,key
282,"1 1 . Low plants with an involucre of 4 petallike bracts; fruit a red drupe CORNACEAE, p. 563 ",key,key
283,Plants without large petal-like bracts 12 ,key,key
284,"12. Mud plants with small axillary flowers ELATINACEAE, p. 525 ",key,key
285,Terrestrial plants 13 ,key,key
286,13. Styles single 14 ,key,key
287,Styles 2 or more 16 ,key,key
288,"14. Ovary inferior, flowers 2- or 4-merous ",key,key
289,"(parts) ONAGRACEAE, p. 534 ",taxon_identification,key
290,Ovary superior. 15 ,key,key
291,"15. Petals 5, stamens 10 PYROLACEAE, p. 567 ",key,key
292,"Petals 4 or 6, stamens 12 LYTHRACEAE, p. 534 ",key,key
293,"16. Sepals 2 PORTULACACEAE, p. 345 ",key,key
294,Sepals more than 2 17 ,key,key
295,"17. Leaves glandular-dotted, stamens ",key,key
296,"united at base into 3-5 bundles HYPERICACEAE, p. 522 ",key,key
297,"Leaves not glandular-dotted, ",morphology,key
298,"stamens not united at base CARYOPH YLLACEAE, p. 347 ",key,key
299,"18. Calyx irregular, some sepals ",key,key
300,smaller than others 19 ,key,key
301,Calyx regular. 20 ,key,key
302,"19. Leaves lobed or divided RANUNCULACEAE, p. 362 ",key,key
303,"Leaves entire CISTACEAE, p. 525 ",key,key
304,20. Leaves with stipules 21 ,key,key
305,"Leaves without stipules, or having glands 26 ",key,key
306,"21. Stamens numerous, united into a column; ",key,key
307,"leaves palmately veined. MALVACEAE, p. 520 ",key,key
308,"Stamens usually separate or partly so, not ",key,key
309,in a column 22 ,key,key
310,22. Flowers irregular in shape 23 ,key,key
311,Flowers regular in shape 24 ,key,key
312,"23 . Corolla pea-like; fruit a legume LEGUMINOSAE, p. 462 ",key,key
313,Corolla with one petal spurred or sac-like; ,key,key
314,"fruit a 3-valved capsule VIOLACEAE, p. 526 ",key,key
315,24. Stamens usually numerous; ovary of one ,key,key
316,"or more carpels, either separate or ",key,key
317,"enclosed by a fleshy receptacle ROSACEAE, p. 436 ",key,key
318,Stamens 5 or 10; ovary of 5 united ,key,key
319,carpels 25 ,key,key
320,25. Leaves palmately divided; fruit with a ,key,key
321,"long beak GERANIACEAE, p. 504 ",key,key
322,"Leaves of 3 leaflets; fruit not beaked OXALIDACEAE, p. 505 ",key,key
323,26. Stamens usually more than 10 27 ,key,key
324,Stamens 10 or fewer 30 ,key,key
325,"27. Carpels separate RANUNCULACEAE, p. 362 ",key,key
326,Carpels united 28 ,key,key
327,"28. Sepals 4; fruit a pod; annuals CAPPARIDACEAE, p. 386 ",key,key
328,Sepals 4-8; fruit a capsule opening at top 29 ,key,key
329,"29. Flowers few, large, solitary, and terminal; ",key,key
330,"petals over 2.5 cm long LOASACEAE, p. 531 ",key,key
331,"Flowers many, small, in terminal spikes RESEDACEAE, p. 417 ",morphology,key
332,30. Ovary inferior. 31 ,key,key
333,Ovary superior. 33 ,key,key
334,"31. Parts of flowers in twos or fours ONAGRACEAE, p. 534 ",key,key
335,Flowers in umbels; parts of flowers ,key,key
336,mostly in fives 32 ,key,key
337,"32. Styles 5; fruit fleshy. ARALIACEAE, p. 544 ",key,key
338,"Styles 2; stems hollow UMBELLIFERAE, p. 545 ",key,key
339,33 . Carpels 3-5 34 ,key,key
340,Carpels 1 or 2 37 ,key,key
341,34. Sepals 3; one petal-like and spurred; fruit ,key,key
342,"an explosive capsule B ALSAMINACEAE, p. 508 ",key,key
343,None of petals or sepals spurred; fruit not ,key,key
344,explosive 35 ,key,key
345,"35. Sepals 2 PORTULACACEAE, p. 345 ",key,key
346,Sepals 3-5 36 ,key,key
347,"36. Stamens 5, united at base; fruit a capsule LINACEAE, p. 507 ",key,key
348,"Stamens 8-10; fleshy- leaved plants CRASSULACEAE, p. 418 ",key,key
349,37. Corolla irregular in shape 38 ,key,key
350,Corolla regular in shape 39 ,key,key
351,"38. Petals 3; sepals 5, two large, colored, and ",key,key
352,"petal-like POLYGALACEAE, p. 510 ",taxon_identification,key
353,"Petals 4; sepals 2 FUMARIACEAE, p. 385 ",key,key
354,"39. Petals 5; receptacle cup-shaped SAXIFRAGACEAE, p. 420 ",key,key
355,Petals 4; sepals 4 40 ,key,key
356,"40. Stamens 6, of equal length; leaves of 3 ",key,key
357,"leaflets CAPPARIDACEAE, p. 386 ",key,key
358,"Stamens usually 6, four long and two ",key,key
359,"short CRUCIFERAE, p. 389 ",key,key
360,4 1 . Plants climbing 42 ,key,key
361,Plants not climbing 45 ,key,key
362,"42. Leaves opposite; styles plumose in fruit RANUNCULACEAE, p. 369 ",key,key
363,(Clematis) ,key,key
364,Leaves alternate; styles not plumose in ,key,key
365,fruit 43 ,key,key
366,"43. Plants with tendrils; leaves simple or digitately compound VITACEAE, p. 519 ",key,key
367,Plants with twining stems; leaves simple 44 ,key,key
368,"44. Leaves orbicular-cordate, peltate near the ",key,key
369,"margin, 3- to 7-lobed MENISPERMACEAE, p. 384 ",key,key
370,"Leaves ovate-oblong, finely serrate CELASTRACEAE, p. 517 ",key,key
371,45 . Leaves opposite 46 ,key,key
372,Leaves alternate 49 ,key,key
373,46. Plants low shrubs 47 ,key,key
374,Trees 48 ,key,key
375,47. Leaves 15-35 mm long; flowers pink to ,key,key
376,"red ERICACEAE, p. 575 ",taxon_identification,taxon_identification
377,{Kalmia) ,taxon_identification,taxon_identification
378,"Leaves about 3 mm long; flowers yellow CISTACEAE, p. 525 ",key,key
379,48. Trees with palmately lobed leaves; fruit a ,key,key
380,"2-seeded samara ACERACEAE, p. 515 ",taxon_identification,key
381,"Shrubs or low trees; petals 4; fruit fleshy. CORNACEAE, p. 563 ",key,key
382,49. Leaves compound 50 ,key,key
383,Leaves simple 53 ,key,key
384,"50. Leaflets leathery, spinose-tipped BERBERIDACEAE, p. 382 ",key,key
385,Leaflets not leathery or spinose-tipped 51 ,key,key
386,"51. Petal (standard) solitary; fruit a legume LEGUMINOSAE, p. 463 ",key,key
387,(Amorpha) ,taxon_identification,key
388,Petals 5; fruit not a legume 52 ,key,key
389,"52 . Flowers perfect; stamens numerous ROS ACEAE, p. 436 ",key,key
390,"Flowers dioecious or perfect; stamens 5 ANACARDIACEAE, p. 514 ",key,key
391,53. Stems armed with prickles; leaves several ,key,key
392,"at the nodes BERBERIDACEAE, p. 382 ",key,key
393,"Stems not armed with prickles, ",morphology,key
394,"or if prickled, only one leaf per node 54 ",key,key
395,54. Stamens numerous 55 ,key,key
396,Stamens less than 10 56 ,key,key
397,"55. Fruit with a tongue-shaped bract adhering to the peduncle TILIACEAE, p. 520 ",key,key
398,"Fruit without a tongue-shaped bract ROSACEAE, p. 436 ",key,key
399,"56. Inflorescence terminating the branches, ",key,key
400,half-round or ovoid; fruit a 3-lobed ,key,key
401,"drupe RHAMNACEAE, p. 518 ",taxon_identification,key
402,(Ceanothus) ,key,key
403,Inflorescence not as above; fruit not a 3lobed drupe 57 ,key,key
404,"57. Fruit a berry; stamens 3 SAXIFRAGACEAE, p. 427 ",key,key
405,(Ribes) ,key,key
406,Fruit a dry capsule 58 ,key,key
407,58. Plants with leathery green leaves; mostly ,key,key
408,"prostrate PYROLACEAE, p. 567 ",key,key
409,(Chimaphila) ,taxon_identification,key
410,Plants not with leathery green leaves; ,key,key
411,"mostly upright ERICACEAE, p. 571 ",key,key
412,C. Sympetalous dicotyledons ,taxon_identification,key
413,"(flowers with two floral rings, but with the petals wholly or partly united forming a ",key,key
414,tube or bell) ,key,key
415,1 . Shrubs or trees 2 ,key,key
416,Herbs 8 ,key,key
417,2. Leaves opposite or whorled 3 ,key,key
418,Leaves alternate 6 ,key,key
419,3. Trees with pinnately compound leaves; ,key,key
420,"stamens 2; fruit winged OLEACEAE, p. 587 ",key,key
421,Shrubs; stamens 5-10 4 ,key,key
422,4. Stems bearing a solitary flower; dwarf ,key,key
423,"shrubs DIAPENSIACEAE, p. 580 ",key,key
424,Stems bearing few to several flowers; ,morphology,key
425,large shrubs 5 ,key,key
426,"5. Stamens 5; ovary inferior; fruit fleshy. CAPRIFOLIACEAE, p. 670 ",key,key
427,Stamens 5-10; ovary superior; fruit a ,morphology,key
428,"capsule ERICACEAE, p. 571 ",key,key
429,"6. Flowers in heads; fruit 1-seeded COMPOSITAE, p. 683 ",key,key
430,Flowers not in heads; fruit many-seeded 7 ,key,key
431,"7. Ovary inferior; fruit fleshy. VACCINIACEAE, p. 577 ",key,key
432,"Ovary superior; fruit usually a capsule, ",morphology,key
433,"sometimes a mealy-fleshy drupe ERICACEAE, p. 571 ",key,key
434,"8. Plants parasitic or saprophytic, without ",key,key
435,chlorophyll (green coloring matter) 9 ,key,key
436,Plants green or with some chlorophyll 11 ,key,key
437,9. Plants twining and attached to stems of ,key,key
438,"other plants CONVOLVULACEAE, p. 599 ",key,key
439,(Cuscuta) ,taxon_identification,key
440,Plants growing out of soil or attached to ,key,key
441,roots of other plants 10 ,key,key
442,"10. Corolla regular; stamens 6-10 MONOTROPACEAE, p. 570 ",key,key
443,"Corolla 2-lipped; stamens 4 OROBANCHACEAE, p. 661 ",key,key
444,1 1 . Flowers in heads or in form resembling a ,key,key
445,head 12 ,key,key
446,Flowers in long or short spikes 17 ,key,key
447,Flowers not in heads or spikes 20 ,key,key
448,12. Flowers in true heads with an involucre ,key,key
449,(bracts) 13 ,key,key
450,"Flowers in form resembling a head, opening in irregular order. 15 ",key,key
451,13. Male and female flowers in separate ,morphology,key
452,"heads COMPOSITAE, p. 683 ",key,key
453,(Group 1) ,key,key
454,"Flowers perfect, or male and female ",morphology,key
455,flowers in same head 14 ,key,key
456,"14. Stamens united by their anthers COMPOSITAE, p. 683 ",key,key
457,(Groups 2 and 3) ,key,key
458,"Stamens separate DIPSACACEAE, p. 681 ",key,key
459,"15. Leaves mostly basal, 1-3 times divided ",key,key
460,"into 3 leaflets; flowers very small, ",key,key
461,"greenish ADOXACEAE, p. 677 ",key,key
462,Leaves not with 3 leaflets; flowers usually ,key,key
463,colored 16 ,key,key
464,"16. Corolla 2-lipped; leaves opposite, stems ",key,key
465,"square LABIATAE, p. 620 ",taxon_identification,key
466,"Corolla regular; stems round POLEMONIACEAE, p. 600 ",key,key
467,"17. Flowers inconspicuous, on long spikes; ",key,key
468,"leaves all basal PLANTAGINACEAE, p. 663 ",key,key
469,"Flowers brightly colored, irregular. 18 ",key,key
470,"18. Fruit a many-seeded capsule SCROPHULARIACEAE, p. 638 ",key,key
471,Fruit not a many-seeded capsule 19 ,key,key
472,19. Flowers alternate or very crowded; fruit ,key,key
473,"of 4 nutlets VERBENACEAE, p. 619 ",key,key
474,"Flowers opposite, not crowded; fruit an ",morphology,key
475,"achene, sharply reflexed PHRYMACEAE, p. 663 ",key,key
476,20. Ovary inferior. 21 ,key,key
477,Ovary superior. 26 ,key,key
478,"2 1 . Climbing plants with tendrils CUCURBITACEAE, p. 677 ",key,key
479,Not climbing plants 22 ,key,key
480,22. Leaves basal or alternate; plants often ,key,key
481,with milky juice 23 ,key,key
482,Leaves opposite; plants without milky ,key,key
483,juice 24 ,key,key
484,"23. Corolla regular, bell-shaped; anthers free CAMPANULACEAE, p. 677 ",key,key
485,"Corolla irregular, split down one side; ",morphology,key
486,"anthers united into a tube LOBELIACEAE, p. 680 ",key,key
487,"24. Stamens 3 VALERIANACEAE, p. 681 ",key,key
488,Stamens 4 or 5 25 ,key,key
489,"25. Leaves with stipules, appearing whorled RUBIACEAE, p. 667 ",key,key
490,"Leaves without stipules CAPRIFOLIACEAE, p. 670 ",key,key
491,26. Corolla irregular. 27 ,key,key
492,Corolla regular. 29 ,key,key
493,27. Plants aquatic; leaves bearing bladders; ,key,key
494,"corolla spurred LENTIBULARIACEAE, p. 659 ",key,key
495,Plants not aquatic; leaves not bearing ,key,key
496,bladders 28 ,morphology,key
497,28. Stems square; leaves opposite; fruit with 4 ,key,key
498,"nutlets LABIATAE, p. 620 ",taxon_identification,key
499,Stems not square; fruit a many-seeded ,key,key
500,"capsule SCROPHULARIACEAE, p. 638 ",taxon_identification,key
501,29 . Plants with milky juice 30 ,key,key
502,Plants without milky juice 31 ,key,key
503,30. Stamens united; styles distinct; pollen ,key,key
504,"grains united into a mass ASCLEPIADACEAE, p. 593 ",habitat,key
505,Stamens distinct; styles united; pollen ,key,key
506,"grains separate APOCYNACEAE, p. 592 ",taxon_identification,key
507,"31. Twining plants; corolla large, funnelform CONVOLVULACEAE, p. 597 ",key,key
508,Plants not twining 32 ,key,key
