,0,1
124,"Perianth usually large, consisting of sepals ",key
125,"and petals usually alike, but petals not ",key
126,"deciduous, variously colored 12 ",key
127,"12. Flowers irregular, stamens 1 or 2 ORCHIDACEAE, p. 270 ",key
128,"Flowers regular, stamens 3 or 6 13 ",key
129,"13. Stamens 3, flowers borne in a spathe IRIDACEAE, p. 268 ",key
130,"Stamens 6, flowers not borne in a spathe 14 ",key
131,"14. Ovary inferior AMARYLLIDACEAE, p. 268 ",key
132,Ovary superior 15 ,key
133,15. Leaves sheathing the stem; inflorescence ,key
134,"a cyme, subtended by strongly sheathing bracts COMMELINACEAE, p. 246 ",key
135,Leaves not sheathing the stem; ,key
136,inflorescence not subtended by ,key
137,"strongly sheathing bracts LILIACEAE, p. 256 ",key
138,Class: DICOTYLEDONEAE — dicotyledons ,taxon_identification
139,"Stems with a central pith, or, if woody, the wood generally arranged in ",morphology
140,annual layers; leaves net-veined; seeds with two cotyledons (seed leaves). ,morphology
141,"A. APETALOUS Flowers with only one floral ring, with ",key
142,sepals but not petals (p. 23). ,key
143,"B. CHORIPETALOUS Flowers with two floral rings, and with ",key
144,each petal distinct from the others (p. 25). ,key
145,"C. SYMPETALOUS Flowers with two floral rings, but with ",key
146,the petals wholly or partly united ,key
147,forming a tube or bell (p. 29). ,key
149,A. Apetalous dicotyledons ,taxon_identification
150,"(flowers with only one floral ring, with sepals but not petals) ",morphology
151,1. Herbs 2 ,key
152,Shrubs or trees 23 ,key
153,2. Plants parasitic on branches of trees; ,key
154,"leaves reduced to scales LORANTHACEAE, p. 308 ",key
155,Plants not parasitic on trees; rooted in ,key
156,soil or water 3 ,key
157,3. Water plants 4 ,key
158,Land plants 7 ,key
159,4. Leaves all simple 5 ,key
160,Some or all leaves divided into filiform ,key
161,"segments , 6 ",key
162,"5. Leaves opposite CALLITRICHACEAE, p. 514 ",key
163,"Leaves whorled HALORAGACEAE, p. 543 ",key
164,(Hippuris) ,taxon_identification
165,"6. Plants free-floating, rootless CERATOPHYLLACEAE, p. 361 ",key
166,"Plants rooted at the bottom HALORAGACEAE, p. 544 ",key
167,{Myriophyllum) ,taxon_identification
168,7. Stamens or pistils in separate flowers on ,key
169,the same plant 8 ,key
170,Stamens and pistils in each flower 1 1 ,key
171,"8. Plants with milky sap; fruit 3-seeded, ",key
172,"splitting open at maturity EUPHORBIACEAE, p. 511 ",key
173,Plants without milky sap 9 ,key
174,"9. Plants twining, climbing; female flowers ",key
175,"and fruit in catkin-like spikes CANNABINACEAE, p. 304 ",key
176,Plants not climbing; fruit not catkin-like 10 ,key
177,10. Stigmas 2; flowers without calyx; fruit ,key
178,"enclosed in 2 bracts CHENOPODIACEAE, p. 326 ",key
179,(A triplex) ,taxon_identification
180,Stigmas 1; flowers with calyx; fruit ,key
181,enclosed by 2-4 perianth segments; ,key
182,"leaves often bearing stinging hairs URTICACEAE, p. 304 ",key
183,1 1. Plants stemless with a single pair of large ,key
184,"reniform leaves; calyx 3-lobed ARISTOLOCHIACEAE, p. 308 ",key
185,"Plants with stems or stemless, but with ",key
186,more than one pair of leaves 12 ,key
187,12. Leaves with stipules free or sheathing the ,key
188,stem 13 ,key
189,Leaves without stipules 14 ,key
190,13. Leaves opposite; stipules membranous; ,key
191,"plant cushion-like CARYOPHYLLACEAE, p. 354 ",taxon_identification
192,(Paronychia) ,key
193,Leaves alternate; stipules forming a ,morphology
194,"sheath above nodes POLYGONACEAE, p. 308 ",key
195,14. Leaves opposite 15 ,key
196,Leaves alternate; lower ones sometimes ,morphology
197,opposite 18 ,key
198,15. Leaves scale-like; stem fleshy; flowers ,key
199,imbedded in stem; plants of saline ,key
200,"areas CHENOPODIACEAE, p. 338 ",taxon_identification
201,(Salicomia) ,taxon_identification
202,Leaves not scale-like; calyx colored 16 ,key
203,"16. Plants climbing RANUNCULACEAE, p. 369 ",key
204,(Clematis) ,key
205,Plants not climbing 17 ,key
206,17. Erect herbs; inflorescence in panicles or ,key
207,"clusters NYCTAGINACEAE, p. 344 ",taxon_identification
208,"Low plants; flowers solitary in leaf axils PRIMULACEAE, p. 583 ",key
209,(Glaux) ,taxon_identification
210,"18. Fruit fleshy when ripe SANTALACEAE, p. 305 ",key
211,Fruit dry when ripe 19 ,key
212,"19. Leaves orbicular or reniform; sepals 4 SAXIFRAGACEAE, p. 421 ",key
213,(Chrysoplenium) ,taxon_identification
214,Leaves not orbicular or reniform 20 ,key
215,"20. Leaves compound or simple, but very ",key
216,"deeply divided RANUNCULACEAE, p. 364 ",key
217,(A nemone) ,taxon_identification
218,Leaves not compound and not very ,morphology
219,deeply divided 21 ,key
220,"21. Perianth segments 6, in two series; flowers ",key
221,"colored POLYGONACEAE, p. 309 ",taxon_identification
222,(Eriogonum) ,key
223,"Perianth segments 2-5; flowers small, ",morphology
224,"numerous, greenish 22 ",morphology
225,22. Bracts and perianth segments dry and ,key
226,"membranous AMARANTHACEAE, p. 342 ",taxon_identification
227,"Membranous bracts absent; perianth segments greenish CHENOPODIACEAE, p. 324 ",key
228,"23. Male flowers, at least, in catkins or ",key
229,aments 24 ,key
230,Flowers not in catkins or aments 27 ,key
231,"24. Seeds each with a tuft of hairs SALICACEAE, p. 279 ",key
232,Seeds without a tuft of hairs 25 ,key
233,"25. Styles 3 or more; fruit an acorn FAGACEAE, p. 303 ",key
234,Styles 2; fruit not an acorn 26 ,key
235,26. Three flowers in axil of each bract of male ,key
236,"catkin BETULACEAE, p. 299 ",taxon_identification
237,One flower in axil of each bract of male ,morphology
238,"catkin; fruit a nut BETULACEAE, p. 301 ",key
239,(Corylus) ,taxon_identification
240,27. Climbing plants; flowers with colored ,key
241,sepals; fruit with a persistent feathery ,morphology
242,"style RANUNCULACEAE, p. 369 ",key
243,(Clematis) ,key
244,Plants not climbing; fruit without a feathery style 28 ,key
245,28. Leaves pinnately compound 29 ,key
246,Leaves simple 30 ,key
247,29. Fruit a double samara; leaflets mostly ,key
248,"3-5 ACERACEAE, p. 515 ",key
249,Fruit a single samara; leaflets mostly ,key
250,"5-11 OLEACEAE, p. 587 ",taxon_identification
251,"30. Leaves linear, evergreen, 2.5-7 mm long; ",morphology
252,"plants with decumbent stems EMPETRACEAE, p. 514 ",key
253,"Leaves wider, deciduous; plants with ",key
254,erect stems 31 ,key
255,31. Fruit fleshy when ripe 32 ,key
256,Fruit dry when ripe 33 ,key
257,"32. Leaves silvery or brownish scurfy ELAEAGNACEAE, p. 533 ",key
258,"Leaves aromatic, not silvery or brownish ",morphology
259,"scurfy MYRICACEAE, p. 299 ",taxon_identification
260,"33. Shrubs without stipules; branches spiny CHENOPODIACEAE, p. 339 ",key
261,(Sarcobatus) ,taxon_identification
262,Trees with stipules; flowers appearing ,morphology
263,"before leaves ULMACEAE, p. 303 ",key
265,B. Choripetalous dicotyledons ,taxon_identification
266,"(flowers with two floral rings, and with each petal distinct from the others) ",key
267,"1. Succulent, spiny plants with leaves absent ",key
268,"or scale-like, inconspicuous CACTACEAE, p. 531 ",key
269,Plants with leaves ,key
271,"2. Leaves all basal, and tubular or with tentacles for catching insects 3 ",key
272,Leaves normal 4 ,key
273,"3. Plants with solitary flowers; leaves tubular with lid-like lobe on top SARRACENIACEAE, p. 418 ",key
274,Plants with flowers in racemes; leaves flat ,morphology
275,"with glandular tentacles DROSERACEAE, p. 418 ",taxon_identification
276,4. Herbs 5 ,key
277,Shrubs or trees 41 ,key
278,5. Plants aquatic; leaves submerged or ,key
279,floating 6 ,key
280,Plants terrestrial or semiaquatic 8 ,key
281,"6. Leaves mostly floating, large, suborbicular or reniform NYMPHAEACEAE, p. 361 ",key
282,"Leaves mostly submerged, small, coarsely ",morphology
283,to finely dissected 7 ,key
284,"7. Flowers pedicellate, mostly white or yellow, perfect RANUNCULACEAE, p. 362 ",key
285,"Flowers sessile, axillary, monoecious HALORAGACEAE, p. 543 ",morphology
286,8. Plants with a single ternately compound ,key
287,"stem leaf, appearing as 3 long-petioled ",key
288,"leaves BERBERIDACEAE, p. 384 ",key
289,(Caulophyllum) ,key
290,Plants with more than one leaf. 9 ,key
291,"9. Plants with colored milky juice PAPAVERACEAE, p. 384 ",key
292,Plants not with colored milky juice 10 ,key
293,"10. Leaves opposite, whorled, or basal 11 ",key
294,Some or all leaves alternate 18 ,key
295,"1 1 . Low plants with an involucre of 4 petallike bracts; fruit a red drupe CORNACEAE, p. 563 ",key
296,Plants without large petal-like bracts 12 ,key
297,"12. Mud plants with small axillary flowers ELATINACEAE, p. 525 ",key
298,Terrestrial plants 13 ,key
299,13. Styles single 14 ,key
300,Styles 2 or more 16 ,key
301,"14. Ovary inferior, flowers 2- or 4-merous ",key
302,"(parts) ONAGRACEAE, p. 534 ",taxon_identification
303,Ovary superior. 15 ,key
304,"15. Petals 5, stamens 10 PYROLACEAE, p. 567 ",key
305,"Petals 4 or 6, stamens 12 LYTHRACEAE, p. 534 ",key
306,"16. Sepals 2 PORTULACACEAE, p. 345 ",key
307,Sepals more than 2 17 ,key
308,"17. Leaves glandular-dotted, stamens ",key
309,"united at base into 3-5 bundles HYPERICACEAE, p. 522 ",key
310,"Leaves not glandular-dotted, ",morphology
311,"stamens not united at base CARYOPH YLLACEAE, p. 347 ",key
313,"18. Calyx irregular, some sepals ",key
314,smaller than others 19 ,key
315,Calyx regular. 20 ,key
316,"19. Leaves lobed or divided RANUNCULACEAE, p. 362 ",key
317,"Leaves entire CISTACEAE, p. 525 ",key
318,20. Leaves with stipules 21 ,key
319,"Leaves without stipules, or having glands 26 ",key
320,"21. Stamens numerous, united into a column; ",key
321,"leaves palmately veined. MALVACEAE, p. 520 ",key
322,"Stamens usually separate or partly so, not ",key
323,in a column 22 ,key
324,22. Flowers irregular in shape 23 ,key
325,Flowers regular in shape 24 ,key
326,"23 . Corolla pea-like; fruit a legume LEGUMINOSAE, p. 462 ",key
327,Corolla with one petal spurred or sac-like; ,key
328,"fruit a 3-valved capsule VIOLACEAE, p. 526 ",key
329,24. Stamens usually numerous; ovary of one ,key
330,"or more carpels, either separate or ",key
331,"enclosed by a fleshy receptacle ROSACEAE, p. 436 ",key
332,Stamens 5 or 10; ovary of 5 united ,key
333,carpels 25 ,key
334,25. Leaves palmately divided; fruit with a ,key
335,"long beak GERANIACEAE, p. 504 ",key
336,"Leaves of 3 leaflets; fruit not beaked OXALIDACEAE, p. 505 ",key
337,26. Stamens usually more than 10 27 ,key
338,Stamens 10 or fewer 30 ,key
339,"27. Carpels separate RANUNCULACEAE, p. 362 ",key
340,Carpels united 28 ,key
341,"28. Sepals 4; fruit a pod; annuals CAPPARIDACEAE, p. 386 ",key
342,Sepals 4-8; fruit a capsule opening at top 29 ,key
343,"29. Flowers few, large, solitary, and terminal; ",key
344,"petals over 2.5 cm long LOASACEAE, p. 531 ",key
345,"Flowers many, small, in terminal spikes RESEDACEAE, p. 417 ",morphology
346,30. Ovary inferior. 31 ,key
347,Ovary superior. 33 ,key
348,"31. Parts of flowers in twos or fours ONAGRACEAE, p. 534 ",key
349,Flowers in umbels; parts of flowers ,key
350,mostly in fives 32 ,key
351,"32. Styles 5; fruit fleshy. ARALIACEAE, p. 544 ",key
352,"Styles 2; stems hollow UMBELLIFERAE, p. 545 ",key
353,33 . Carpels 3-5 34 ,key
354,Carpels 1 or 2 37 ,key
355,34. Sepals 3; one petal-like and spurred; fruit ,key
356,"an explosive capsule B ALSAMINACEAE, p. 508 ",key
357,None of petals or sepals spurred; fruit not ,key
358,explosive 35 ,key
360,"35. Sepals 2 PORTULACACEAE, p. 345 ",key
361,Sepals 3-5 36 ,key
362,"36. Stamens 5, united at base; fruit a capsule LINACEAE, p. 507 ",key
363,"Stamens 8-10; fleshy- leaved plants CRASSULACEAE, p. 418 ",key
364,37. Corolla irregular in shape 38 ,key
365,Corolla regular in shape 39 ,key
366,"38. Petals 3; sepals 5, two large, colored, and ",key
367,"petal-like POLYGALACEAE, p. 510 ",taxon_identification
368,"Petals 4; sepals 2 FUMARIACEAE, p. 385 ",key
369,"39. Petals 5; receptacle cup-shaped SAXIFRAGACEAE, p. 420 ",key
370,Petals 4; sepals 4 40 ,key
371,"40. Stamens 6, of equal length; leaves of 3 ",key
372,"leaflets CAPPARIDACEAE, p. 386 ",key
373,"Stamens usually 6, four long and two ",key
374,"short CRUCIFERAE, p. 389 ",key
375,4 1 . Plants climbing 42 ,key
376,Plants not climbing 45 ,key
377,"42. Leaves opposite; styles plumose in fruit RANUNCULACEAE, p. 369 ",key
378,(Clematis) ,key
379,Leaves alternate; styles not plumose in ,key
380,fruit 43 ,key
381,"43. Plants with tendrils; leaves simple or digitately compound VITACEAE, p. 519 ",key
382,Plants with twining stems; leaves simple 44 ,key
383,"44. Leaves orbicular-cordate, peltate near the ",key
384,"margin, 3- to 7-lobed MENISPERMACEAE, p. 384 ",key
385,"Leaves ovate-oblong, finely serrate CELASTRACEAE, p. 517 ",key
386,45 . Leaves opposite 46 ,key
387,Leaves alternate 49 ,key
388,46. Plants low shrubs 47 ,key
389,Trees 48 ,key
390,47. Leaves 15-35 mm long; flowers pink to ,key
391,"red ERICACEAE, p. 575 ",taxon_identification
392,{Kalmia) ,taxon_identification
393,"Leaves about 3 mm long; flowers yellow CISTACEAE, p. 525 ",key
394,48. Trees with palmately lobed leaves; fruit a ,key
395,"2-seeded samara ACERACEAE, p. 515 ",taxon_identification
396,"Shrubs or low trees; petals 4; fruit fleshy. CORNACEAE, p. 563 ",key
397,49. Leaves compound 50 ,key
398,Leaves simple 53 ,key
399,"50. Leaflets leathery, spinose-tipped BERBERIDACEAE, p. 382 ",key
400,Leaflets not leathery or spinose-tipped 51 ,key
401,"51. Petal (standard) solitary; fruit a legume LEGUMINOSAE, p. 463 ",key
402,(Amorpha) ,taxon_identification
403,Petals 5; fruit not a legume 52 ,key
404,"52 . Flowers perfect; stamens numerous ROS ACEAE, p. 436 ",key
405,"Flowers dioecious or perfect; stamens 5 ANACARDIACEAE, p. 514 ",key
407,53. Stems armed with prickles; leaves several ,key
408,"at the nodes BERBERIDACEAE, p. 382 ",key
409,"Stems not armed with prickles, ",morphology
410,"or if prickled, only one leaf per node 54 ",key
411,54. Stamens numerous 55 ,key
412,Stamens less than 10 56 ,key
413,"55. Fruit with a tongue-shaped bract adhering to the peduncle TILIACEAE, p. 520 ",key
414,"Fruit without a tongue-shaped bract ROSACEAE, p. 436 ",key
415,"56. Inflorescence terminating the branches, ",key
416,half-round or ovoid; fruit a 3-lobed ,key
417,"drupe RHAMNACEAE, p. 518 ",taxon_identification
418,(Ceanothus) ,key
419,Inflorescence not as above; fruit not a 3lobed drupe 57 ,key
420,"57. Fruit a berry; stamens 3 SAXIFRAGACEAE, p. 427 ",key
421,(Ribes) ,key
422,Fruit a dry capsule 58 ,key
423,58. Plants with leathery green leaves; mostly ,key
424,"prostrate PYROLACEAE, p. 567 ",key
425,(Chimaphila) ,taxon_identification
426,Plants not with leathery green leaves; ,key
427,"mostly upright ERICACEAE, p. 571 ",key
428,C. Sympetalous dicotyledons ,taxon_identification
429,"(flowers with two floral rings, but with the petals wholly or partly united forming a ",key
430,tube or bell) ,key
431,1 . Shrubs or trees 2 ,key
432,Herbs 8 ,key
433,2. Leaves opposite or whorled 3 ,key
434,Leaves alternate 6 ,key
435,3. Trees with pinnately compound leaves; ,key
436,"stamens 2; fruit winged OLEACEAE, p. 587 ",key
437,Shrubs; stamens 5-10 4 ,key
438,4. Stems bearing a solitary flower; dwarf ,key
439,"shrubs DIAPENSIACEAE, p. 580 ",key
440,Stems bearing few to several flowers; ,morphology
441,large shrubs 5 ,key
442,"5. Stamens 5; ovary inferior; fruit fleshy. CAPRIFOLIACEAE, p. 670 ",key
443,Stamens 5-10; ovary superior; fruit a ,morphology
444,"capsule ERICACEAE, p. 571 ",key
445,"6. Flowers in heads; fruit 1-seeded COMPOSITAE, p. 683 ",key
446,Flowers not in heads; fruit many-seeded 7 ,key
447,"7. Ovary inferior; fruit fleshy. VACCINIACEAE, p. 577 ",key
448,"Ovary superior; fruit usually a capsule, ",morphology
449,"sometimes a mealy-fleshy drupe ERICACEAE, p. 571 ",key
450,"8. Plants parasitic or saprophytic, without ",key
451,chlorophyll (green coloring matter) 9 ,key
452,Plants green or with some chlorophyll 11 ,key
454,9. Plants twining and attached to stems of ,key
455,"other plants CONVOLVULACEAE, p. 599 ",key
456,(Cuscuta) ,taxon_identification
457,Plants growing out of soil or attached to ,key
458,roots of other plants 10 ,key
459,"10. Corolla regular; stamens 6-10 MONOTROPACEAE, p. 570 ",key
460,"Corolla 2-lipped; stamens 4 OROBANCHACEAE, p. 661 ",key
461,1 1 . Flowers in heads or in form resembling a ,key
462,head 12 ,key
463,Flowers in long or short spikes 17 ,key
464,Flowers not in heads or spikes 20 ,key
465,12. Flowers in true heads with an involucre ,key
466,(bracts) 13 ,key
467,"Flowers in form resembling a head, opening in irregular order. 15 ",key
468,13. Male and female flowers in separate ,morphology
469,"heads COMPOSITAE, p. 683 ",key
470,(Group 1) ,key
471,"Flowers perfect, or male and female ",morphology
472,flowers in same head 14 ,key
473,"14. Stamens united by their anthers COMPOSITAE, p. 683 ",key
474,(Groups 2 and 3) ,key
475,"Stamens separate DIPSACACEAE, p. 681 ",key
476,"15. Leaves mostly basal, 1-3 times divided ",key
477,"into 3 leaflets; flowers very small, ",key
478,"greenish ADOXACEAE, p. 677 ",key
479,Leaves not with 3 leaflets; flowers usually ,key
480,colored 16 ,key
481,"16. Corolla 2-lipped; leaves opposite, stems ",key
482,"square LABIATAE, p. 620 ",taxon_identification
483,"Corolla regular; stems round POLEMONIACEAE, p. 600 ",key
484,"17. Flowers inconspicuous, on long spikes; ",key
485,"leaves all basal PLANTAGINACEAE, p. 663 ",key
486,"Flowers brightly colored, irregular. 18 ",key
487,"18. Fruit a many-seeded capsule SCROPHULARIACEAE, p. 638 ",key
488,Fruit not a many-seeded capsule 19 ,key
489,19. Flowers alternate or very crowded; fruit ,key
490,"of 4 nutlets VERBENACEAE, p. 619 ",key
491,"Flowers opposite, not crowded; fruit an ",morphology
492,"achene, sharply reflexed PHRYMACEAE, p. 663 ",key
493,20. Ovary inferior. 21 ,key
494,Ovary superior. 26 ,key
495,"2 1 . Climbing plants with tendrils CUCURBITACEAE, p. 677 ",key
496,Not climbing plants 22 ,key
497,22. Leaves basal or alternate; plants often ,key
498,with milky juice 23 ,key
499,Leaves opposite; plants without milky ,key
500,juice 24 ,key
502,"23. Corolla regular, bell-shaped; anthers free CAMPANULACEAE, p. 677 ",key
503,"Corolla irregular, split down one side; ",morphology
504,"anthers united into a tube LOBELIACEAE, p. 680 ",key
505,"24. Stamens 3 VALERIANACEAE, p. 681 ",key
506,Stamens 4 or 5 25 ,key
507,"25. Leaves with stipules, appearing whorled RUBIACEAE, p. 667 ",key
508,"Leaves without stipules CAPRIFOLIACEAE, p. 670 ",key
509,26. Corolla irregular. 27 ,key
510,Corolla regular. 29 ,key
511,27. Plants aquatic; leaves bearing bladders; ,key
512,"corolla spurred LENTIBULARIACEAE, p. 659 ",key
513,Plants not aquatic; leaves not bearing ,key
514,bladders 28 ,morphology
515,28. Stems square; leaves opposite; fruit with 4 ,key
516,"nutlets LABIATAE, p. 620 ",taxon_identification
517,Stems not square; fruit a many-seeded ,key
518,"capsule SCROPHULARIACEAE, p. 638 ",taxon_identification
519,29 . Plants with milky juice 30 ,key
520,Plants without milky juice 31 ,key
521,30. Stamens united; styles distinct; pollen ,key
522,"grains united into a mass ASCLEPIADACEAE, p. 593 ",habitat
523,Stamens distinct; styles united; pollen ,key
524,"grains separate APOCYNACEAE, p. 592 ",taxon_identification
525,"31. Twining plants; corolla large, funnelform CONVOLVULACEAE, p. 597 ",key
526,Plants not twining 32 ,key
527,"32. Stamens directly in front of corolla lobes PRIMULACEAE, p. 580 ",key
528,"Stamens alternating with corolla lobes, or ",morphology
529,twice their number 33 ,key
530,"33. Stamens 8 or 10 PYROLACEAE, p. 567 ",key
531,Stamens 4 or 5 34 ,key
532,34. Fruit with 4 nutlets; style from center of ,key
533,lobes of ovary; inflorescence usually ,key
534,"scorpioid BORAGINACEAE, p. 609 ",taxon_identification
535,Fruit a berry or capsule; style terminal 35 ,key
536,35. Ovary 1 -celled with seeds borne on wall ,key
537,of cell 36 ,key
538,Ovary 2- or 3-celled with seeds borne on ,key
539,axis in center of cell 37 ,key
540,"36. Flowers in cymose clusters, ",key
541,"leaves opposite GENTIANACEAE, p. 589 ",key
542,"Flowers scorpioid or solitary in leaf axils, ",morphology
543,"leaves alternate or basal HYDROPHYLLACEAE, p. 605 ",morphology
544,"37. Ovary 3-celled; fruit a capsule POLEMONIACEAE, p. 600 ",key
545,"Ovary 2-celled; fruit a berry or a capsule SOLANACEAE, p. 631 ",morphology
547,Genera and species ,taxon_identification
548,Division: PTERIDOPHYTA — ferns and fern allies ,taxon_identification
549,OPHIOGLOSSACEAE — adders-tongue family ,taxon_identification
550,Botrychium grape fern ,taxon_identification
551,"Plants from fleshy roots with sheath at base of frond (leaf) stalk, containing the following year's bud. Fertile frond bearing the spore-bearing bodies ",morphology
552,spike-like or raceme-like. Sterile frond leaf-like and lobed. ,morphology
553,"1. Sterile frond oblong, ovate, or somewhat ",key
554,"triangular-ovate, longer than wide, usually glabrous 2 ",key
555,"Sterile frond triangular, wider than long, ",morphology
556,"pubescent, at least when young 6 ",key
557,"2. Sterile fronds simple, trilobed, or pinnate; ",key
558,pinnae without midrib 3 ,key
559,Sterile fronds bipinnate; pinnae with conspicuous midrib 4 ,key
560,"3. Sterile frond petiolate, simple, trilobed, or ",morphology
561,pinnate with 2 or 3 pairs of pinnae B. simplex ,key
562,"Sterile frond sessile, pinnate with 3-9 ",morphology
563,pairs of pinnae B. lunaria ,key
564,"4. Pinnae triangular to rhomboid-ovate, ",key
565,about as long as wide B. boreale ,key
566,"Pinnae lanceolate to oblong, longer than ",morphology
567,wide 5 ,key
568,"5. Pinnae lanceolate to linear-lanceolate, ",key
569,acute at apex; midrib pronounced B. lanceolatum ,key
